Model,LR,Epochs,Accuracy
grid_accuracy_lr0.001_ep1,0.001,1,0.8666666666666667
grid_accuracy_lr0.001_ep3,0.001,3,0.9666666666666667
grid_accuracy_lr0.001_ep5,0.001,5,1.0
grid_accuracy_lr1e-05_ep1,1e-05,1,0.8666666666666667
grid_accuracy_lr1e-05_ep3,1e-05,3,0.9666666666666667
grid_accuracy_lr1e-05_ep5,1e-05,5,1.0
random_accuracy_lr1e-05_ep3,1e-05,3,0.9666666666666667
random_accuracy_lr1e-05_ep3,1e-05,3,0.9666666666666667
random_accuracy_lr1e-05_ep3,1e-05,3,0.9666666666666667
hyperband_accuracy_lr0.001_ep5,0.001,5,1.0
hyperband_accuracy_lr1e-05_ep5,1e-05,5,1.0
hyperband_accuracy_lr0.001_ep2,0.001,2,0.9333333333333333
hyperband_accuracy_lr1e-05_ep2,1e-05,2,0.9333333333333333
hyperband_accuracy_lr0.001_ep1,0.001,1,0.8666666666666667
hyperband_accuracy_lr1e-05_ep1,1e-05,1,0.8666666666666667
bayesian_accuracy_lr1e-05_ep3,1e-05,3,0.9666666666666667
bayesian_accuracy_lr1e-05_ep1,1e-05,1,0.8666666666666667
bayesian_accuracy_lr1e-05_ep1,1e-05,1,0.8666666666666667
bayesian_accuracy_lr1e-05_ep1,1e-05,1,0.8666666666666667
bayesian_accuracy_lr1e-05_ep1,1e-05,1,0.8666666666666667
grid_f1_micro_lr0.001_ep1,0.001,1,0.8666666666666667
grid_f1_micro_lr0.001_ep3,0.001,3,0.9666666666666667
grid_f1_micro_lr0.001_ep5,0.001,5,1.0
grid_f1_micro_lr1e-05_ep1,1e-05,1,0.8666666666666667
grid_f1_micro_lr1e-05_ep3,1e-05,3,0.9666666666666667
grid_f1_micro_lr1e-05_ep5,1e-05,5,1.0
random_f1_micro_lr1e-05_ep3,1e-05,3,0.9666666666666667
random_f1_micro_lr1e-05_ep3,1e-05,3,0.9666666666666667
random_f1_micro_lr1e-05_ep3,1e-05,3,0.9666666666666667
hyperband_f1_micro_lr0.001_ep5,0.001,5,1.0
hyperband_f1_micro_lr1e-05_ep5,1e-05,5,1.0
hyperband_f1_micro_lr0.001_ep2,0.001,2,0.9333333333333333
hyperband_f1_micro_lr1e-05_ep2,1e-05,2,0.9333333333333333
hyperband_f1_micro_lr0.001_ep1,0.001,1,0.8666666666666667
hyperband_f1_micro_lr1e-05_ep1,1e-05,1,0.8666666666666667
bayesian_f1_micro_lr1e-05_ep3,1e-05,3,0.9666666666666667
bayesian_f1_micro_lr1e-05_ep1,1e-05,1,0.8666666666666667
bayesian_f1_micro_lr1e-05_ep1,1e-05,1,0.8666666666666667
bayesian_f1_micro_lr1e-05_ep1,1e-05,1,0.8666666666666667
bayesian_f1_micro_lr1e-05_ep1,1e-05,1,0.8666666666666667
