Epoch 1: train_loss=5.9903, val_loss=1.1954
Epoch 2: train_loss=5.8133, val_loss=1.1683
Epoch 3: train_loss=5.7222, val_loss=1.1419
Epoch 4: train_loss=5.6303, val_loss=1.1157
Epoch 5: train_loss=5.5282, val_loss=1.0896
Epoch 6: train_loss=5.3667, val_loss=1.0635
Epoch 7: train_loss=5.3599, val_loss=1.0385
Epoch 8: train_loss=5.2239, val_loss=1.0137
Epoch 9: train_loss=5.0787, val_loss=0.9884
Epoch 10: train_loss=4.8696, val_loss=0.9640
Epoch 11: train_loss=4.7970, val_loss=0.9401
Epoch 12: train_loss=4.7827, val_loss=0.9171
Epoch 13: train_loss=4.5404, val_loss=0.8942
Epoch 14: train_loss=4.4167, val_loss=0.8706
Epoch 15: train_loss=4.3083, val_loss=0.8474
Epoch 16: train_loss=4.2161, val_loss=0.8248
Epoch 17: train_loss=4.1681, val_loss=0.8030
Epoch 18: train_loss=4.1218, val_loss=0.7803
Epoch 19: train_loss=3.9463, val_loss=0.7583
Epoch 20: train_loss=3.9198, val_loss=0.7366
Epoch 21: train_loss=3.6834, val_loss=0.7151
Epoch 22: train_loss=3.7114, val_loss=0.6933
Epoch 23: train_loss=3.4933, val_loss=0.6729
Epoch 24: train_loss=3.3550, val_loss=0.6523
Epoch 25: train_loss=3.3412, val_loss=0.6327
Epoch 26: train_loss=3.1773, val_loss=0.6135
Epoch 27: train_loss=3.1383, val_loss=0.5951
Epoch 28: train_loss=3.1277, val_loss=0.5772
Epoch 29: train_loss=2.8961, val_loss=0.5603
Epoch 30: train_loss=2.9595, val_loss=0.5441
Epoch 31: train_loss=2.7503, val_loss=0.5283
Epoch 32: train_loss=2.7315, val_loss=0.5132
Epoch 33: train_loss=2.8141, val_loss=0.4992
Epoch 34: train_loss=2.6477, val_loss=0.4858
Epoch 35: train_loss=2.4315, val_loss=0.4731
Epoch 36: train_loss=2.4571, val_loss=0.4607
Epoch 37: train_loss=2.3356, val_loss=0.4491
Epoch 38: train_loss=2.3852, val_loss=0.4380
Epoch 39: train_loss=2.2618, val_loss=0.4275
Epoch 40: train_loss=2.2920, val_loss=0.4176
Epoch 41: train_loss=2.3176, val_loss=0.4078
Epoch 42: train_loss=2.2555, val_loss=0.3983
Epoch 43: train_loss=2.1003, val_loss=0.3894
Epoch 44: train_loss=2.0431, val_loss=0.3807
Epoch 45: train_loss=2.0276, val_loss=0.3725
Epoch 46: train_loss=2.0329, val_loss=0.3647
Epoch 47: train_loss=2.0005, val_loss=0.3571
Epoch 48: train_loss=1.8734, val_loss=0.3495
Epoch 49: train_loss=1.7996, val_loss=0.3423
Epoch 50: train_loss=2.0057, val_loss=0.3354
Training complete. Metrics logged to W&B.
0.9333333333333333 0.9435897435897436 0.9333333333333333 0.9319444444444444
Training complete. Metrics logged to W&B.
