Epoch 1: train_loss=5.9715, val_loss=1.1057
Epoch 2: train_loss=5.5891, val_loss=1.0704
Epoch 3: train_loss=5.3681, val_loss=1.0383
Epoch 4: train_loss=5.3055, val_loss=1.0082
Epoch 5: train_loss=5.1589, val_loss=0.9801
Epoch 6: train_loss=4.9020, val_loss=0.9537
Epoch 7: train_loss=4.8936, val_loss=0.9288
Epoch 8: train_loss=4.5938, val_loss=0.9052
Epoch 9: train_loss=4.7535, val_loss=0.8826
Epoch 10: train_loss=4.4881, val_loss=0.8614
Epoch 11: train_loss=4.3158, val_loss=0.8412
Epoch 12: train_loss=4.3732, val_loss=0.8214
Epoch 13: train_loss=4.1744, val_loss=0.8031
Epoch 14: train_loss=4.3636, val_loss=0.7852
Epoch 15: train_loss=3.9117, val_loss=0.7686
Epoch 16: train_loss=3.8314, val_loss=0.7520
Epoch 17: train_loss=3.8582, val_loss=0.7360
Epoch 18: train_loss=3.8619, val_loss=0.7205
Epoch 19: train_loss=3.6881, val_loss=0.7053
Epoch 20: train_loss=3.8447, val_loss=0.6906
Epoch 21: train_loss=3.6081, val_loss=0.6761
Epoch 22: train_loss=3.3247, val_loss=0.6621
Epoch 23: train_loss=3.2677, val_loss=0.6486
Epoch 24: train_loss=3.5335, val_loss=0.6354
Epoch 25: train_loss=3.2671, val_loss=0.6225
Epoch 26: train_loss=3.4347, val_loss=0.6098
Epoch 27: train_loss=3.2675, val_loss=0.5976
Epoch 28: train_loss=2.9422, val_loss=0.5858
Epoch 29: train_loss=3.2607, val_loss=0.5744
Epoch 30: train_loss=2.9958, val_loss=0.5635
Epoch 31: train_loss=3.1565, val_loss=0.5528
Epoch 32: train_loss=3.0947, val_loss=0.5426
Epoch 33: train_loss=3.3391, val_loss=0.5325
Epoch 34: train_loss=2.7296, val_loss=0.5230
Epoch 35: train_loss=2.8421, val_loss=0.5135
Epoch 36: train_loss=3.1505, val_loss=0.5042
Epoch 37: train_loss=2.7177, val_loss=0.4952
Epoch 38: train_loss=2.6993, val_loss=0.4864
Epoch 39: train_loss=2.6395, val_loss=0.4777
Epoch 40: train_loss=2.7082, val_loss=0.4693
Epoch 41: train_loss=2.5210, val_loss=0.4613
Epoch 42: train_loss=2.4642, val_loss=0.4535
Epoch 43: train_loss=2.5041, val_loss=0.4458
Epoch 44: train_loss=2.4786, val_loss=0.4387
Epoch 45: train_loss=2.3731, val_loss=0.4319
Epoch 46: train_loss=2.4535, val_loss=0.4252
Epoch 47: train_loss=2.4163, val_loss=0.4184
Epoch 48: train_loss=2.2143, val_loss=0.4119
Epoch 49: train_loss=2.3851, val_loss=0.4056
Epoch 50: train_loss=2.4197, val_loss=0.3994
Training complete. Metrics logged to W&B.
0.8666666666666667 0.9022222222222223 0.8666666666666667 0.8578754578754579
