Epoch 1: train_loss=5.6155, val_loss=1.1181
Epoch 2: train_loss=5.5319, val_loss=1.0990
Epoch 3: train_loss=5.5968, val_loss=1.0804
Epoch 4: train_loss=5.3565, val_loss=1.0622
Epoch 5: train_loss=5.2953, val_loss=1.0438
Epoch 6: train_loss=5.1395, val_loss=1.0254
Epoch 7: train_loss=5.0556, val_loss=1.0068
Epoch 8: train_loss=4.9874, val_loss=0.9878
Epoch 9: train_loss=4.9235, val_loss=0.9687
Epoch 10: train_loss=4.9343, val_loss=0.9493
Epoch 11: train_loss=4.7008, val_loss=0.9298
Epoch 12: train_loss=4.5695, val_loss=0.9099
Epoch 13: train_loss=4.5698, val_loss=0.8898
Epoch 14: train_loss=4.4378, val_loss=0.8691
Epoch 15: train_loss=4.2746, val_loss=0.8475
Epoch 16: train_loss=4.1899, val_loss=0.8252
Epoch 17: train_loss=4.2904, val_loss=0.8029
Epoch 18: train_loss=4.1664, val_loss=0.7809
Epoch 19: train_loss=3.8193, val_loss=0.7593
Epoch 20: train_loss=3.8905, val_loss=0.7374
Epoch 21: train_loss=3.6385, val_loss=0.7159
Epoch 22: train_loss=3.6663, val_loss=0.6950
Epoch 23: train_loss=3.5465, val_loss=0.6748
Epoch 24: train_loss=3.5702, val_loss=0.6554
Epoch 25: train_loss=3.3426, val_loss=0.6369
Epoch 26: train_loss=3.2954, val_loss=0.6190
Epoch 27: train_loss=2.9534, val_loss=0.6018
Epoch 28: train_loss=2.9593, val_loss=0.5851
Epoch 29: train_loss=2.9463, val_loss=0.5695
Epoch 30: train_loss=2.9390, val_loss=0.5549
Epoch 31: train_loss=2.8052, val_loss=0.5412
Epoch 32: train_loss=2.8602, val_loss=0.5281
Epoch 33: train_loss=2.8704, val_loss=0.5158
Epoch 34: train_loss=2.8184, val_loss=0.5041
Epoch 35: train_loss=2.6699, val_loss=0.4930
Epoch 36: train_loss=2.6109, val_loss=0.4828
Epoch 37: train_loss=2.5663, val_loss=0.4730
Epoch 38: train_loss=2.7035, val_loss=0.4632
Epoch 39: train_loss=2.3775, val_loss=0.4541
Epoch 40: train_loss=2.4269, val_loss=0.4457
Epoch 41: train_loss=2.2994, val_loss=0.4375
Epoch 42: train_loss=2.5017, val_loss=0.4299
Epoch 43: train_loss=2.2634, val_loss=0.4223
Epoch 44: train_loss=2.3535, val_loss=0.4150
Epoch 45: train_loss=2.2226, val_loss=0.4080
Epoch 46: train_loss=2.3384, val_loss=0.4013
Epoch 47: train_loss=2.2099, val_loss=0.3949
Epoch 48: train_loss=2.1429, val_loss=0.3887
Epoch 49: train_loss=2.1896, val_loss=0.3826
Epoch 50: train_loss=2.0726, val_loss=0.3764
Training complete. Metrics logged to W&B.
0.8333333333333334 0.8854166666666666 0.8333333333333334 0.8167141500474834
