Epoch 1: train_loss=5.8671, val_loss=1.1470
Epoch 2: train_loss=5.7476, val_loss=1.1246
Epoch 3: train_loss=5.6729, val_loss=1.1030
Epoch 4: train_loss=5.4961, val_loss=1.0823
Epoch 5: train_loss=5.4439, val_loss=1.0622
Epoch 6: train_loss=5.2940, val_loss=1.0430
Epoch 7: train_loss=5.2436, val_loss=1.0243
Epoch 8: train_loss=5.1471, val_loss=1.0062
Epoch 9: train_loss=5.0572, val_loss=0.9883
Epoch 10: train_loss=5.0275, val_loss=0.9705
Epoch 11: train_loss=4.8466, val_loss=0.9532
Epoch 12: train_loss=4.7280, val_loss=0.9351
Epoch 13: train_loss=4.6204, val_loss=0.9163
Epoch 14: train_loss=4.5289, val_loss=0.8977
Epoch 15: train_loss=4.5689, val_loss=0.8789
Epoch 16: train_loss=4.4225, val_loss=0.8599
Epoch 17: train_loss=4.4645, val_loss=0.8407
Epoch 18: train_loss=4.3239, val_loss=0.8215
Epoch 19: train_loss=4.1788, val_loss=0.8017
Epoch 20: train_loss=3.9562, val_loss=0.7817
Epoch 21: train_loss=3.9455, val_loss=0.7612
Epoch 22: train_loss=3.8099, val_loss=0.7407
Epoch 23: train_loss=3.8434, val_loss=0.7203
Epoch 24: train_loss=3.7337, val_loss=0.7000
Epoch 25: train_loss=3.4714, val_loss=0.6806
Epoch 26: train_loss=3.5698, val_loss=0.6611
Epoch 27: train_loss=3.2901, val_loss=0.6420
Epoch 28: train_loss=3.3125, val_loss=0.6228
Epoch 29: train_loss=3.3004, val_loss=0.6044
Epoch 30: train_loss=3.0379, val_loss=0.5864
Epoch 31: train_loss=3.1312, val_loss=0.5693
Epoch 32: train_loss=3.0068, val_loss=0.5527
Epoch 33: train_loss=3.0138, val_loss=0.5371
Epoch 34: train_loss=2.8832, val_loss=0.5221
Epoch 35: train_loss=2.7338, val_loss=0.5074
Epoch 36: train_loss=2.6634, val_loss=0.4935
Epoch 37: train_loss=2.4860, val_loss=0.4799
Epoch 38: train_loss=2.6197, val_loss=0.4671
Epoch 39: train_loss=2.4984, val_loss=0.4551
Epoch 40: train_loss=2.3186, val_loss=0.4436
Epoch 41: train_loss=2.4085, val_loss=0.4328
Epoch 42: train_loss=2.1763, val_loss=0.4222
Epoch 43: train_loss=2.2705, val_loss=0.4123
Epoch 44: train_loss=2.3583, val_loss=0.4028
Epoch 45: train_loss=2.2168, val_loss=0.3939
Epoch 46: train_loss=2.1230, val_loss=0.3848
Epoch 47: train_loss=2.2222, val_loss=0.3767
Epoch 48: train_loss=2.0895, val_loss=0.3687
Epoch 49: train_loss=2.0737, val_loss=0.3612
Epoch 50: train_loss=1.8927, val_loss=0.3538
Training complete. Metrics logged to W&B.
0.9 0.9214285714285714 0.9 0.896
